Ticker
MSFT
AAPL
NVDA
GOOGL
GOOG
AMZN
META
BRK-B
LLY
AVGO
JPM
TSLA
V
WMT
XOM
UNH
MA
PG
COST
JNJ
ORCL
MRK
HD
BAC
ABBV
CVX
NFLX
KO
AMD
PEP
CRM
QCOM
TMO
TMUS
LIN
ADBE
WFC
DHR
ABT
CSCO
DIS
MCD
AMAT
ACN
GE
TXN
AXP
AMGN
PFE
CAT
PM
INTU
MS
IBM
NEE
CMCSA
ISRG
GS
NKE
UBER
MU
RTX
NOW
BX
UNP
HON
SPGI
SYK
SCHW
COP
T
INTC
BKNG
ETN
ELV
PGR
LRCX
VRTX
LOW
TJX
C
UPS
BA
ADI
BLK
LMT
BSX
MDT
REGN
CB
MMC
KLAC
ADP
DE
PLD
PANW
CI
ANET
SBUX
MDLZ
AMT
FI
HCA
SNPS
CMG
SO
BMY
GD
WM
GILD
MO
CDNS
ZTS
DUK
APH
CVS
CL
ICE
MCK
SHW
MCO
TDG
TT
ITW
CME
EQIX
FCX
PYPL
BDX
NXPI
EOG
CTAS
ECL
TGT
PH
MAR
NOC
CSX
SLB
APD
MPC
MSI
PNC
WELL
AON
EMR
FDX
USB
ROP
RSG
PSX
ORLY
MRNA
PCAR
MMM
AJG
MNST
COF
OXY
EW
GM
CPRT
NSC
VLO
AIG
AFL
HLT
MET
WMB
MCHP
SPG
TRV
TFC
ROST
PSA
AZO
SRE
F
DLR
JCI
KDP
COR
AEP
DHI
O
NEM
ADSK
DXCM
OKE
STZ
TEL
HES
FTNT
KMB
BK
SMCI
PAYX
GWW
CCI
ALL
KMI
D
EL
URI
FIS
AMP
HUM
LEN
PRU
LHX
KHC
IDXX
CHTR
IQV
RCL
HSY
PWR
YUM
AME
DOW
MSCI
A
NUE
PCG
LULU
GIS
ACGL
KR
VRSK
CMI
CNC
CTVA
ODFL
FAST
EA
PEG
MPWR
EXC
SYY
IR
HPQ
HWM
MLM
FANG
NDAQ
LVS
IT
DD
XYL
VMC
BIIB
CTSH
DAL
FICO
ED
BKR
GLW
DFS
GRMN
EXR
LYB
CSGP
RMD
ON
MTD
XEL
CDW
HAL
ADM
PPG
HIG
DVN
VICI
VST
TSCO
ROK
EFX
WAB
FSLR
EIX
ANSS
TTWO
AVB
DG
EBAY
DECK
CHD
TRGP
CBRE
WTW
HPE
BRO
TROW
FTV
WEC
IFF
AWK
GPN
IRM
NTAP
RJF
FITB
EQR
WDC
MTB
DOV
CAH
DLTR
KEYS
NVR
PHM
BR
DTE
ETR
ZBH
WST
ROL
STT
STE
FE
APTV
TER
INVH
WY
BALL
AXON
PPL
PTC
CCL
BF-B
LYV
ES
SBAC
WRB
CTRA
TYL
K
GPC
WBD
STX
VTR
ARE
HUBB
STLD
LDOS
TSN
HBAN
CNP
ALGN
BBY
AEE
COO
PFG
TDY
MKC
AVY
ULTA
CPAY
CINF
MOH
CMS
ILMN
CBOE
VRSN
WAT
DPZ
OMC
EQT
BLDR
DRI
SYF
EXPD
HOLX
UAL
J
ATO
ESS
RF
BAX
NTRS
HRL
ENPH
L
EG
JBHT
PKG
LH
CLX
LUV
TXT
NRG
CE
MAA
DGX
IP
MRO
NWS
NWSA
FDS
ZBRA
CFG
EXPE
GEN
FOX
FOXA
IEX
BG
MAS
SWKS
AMCR
AES
CAG
CF
SNA
JBL
WBA
AKAM
RVTY
DOC
ALB
PODD
TRMB
INCY
KEY
POOL
UDR
NDSN
PNR
LNT
CPB
SWK
NI
MGM
KIM
HST
VTRS
DVA
LW
TECH
EVRG
SJM
EMN
JKHY
BEN
AOS
IPG
JNPR
RL
CPT
REG
LKQ
UHS
TAP
CRL
KMX
APA
WYNN
EPAM
BBWI
ALLE
CTLT
CHRW
TFX
TPR
HII
FFIV
QRVO
BXP
MOS
AIZ
HSIC
PNW
MTCH
PAYC
PARA
FRT
GNRC
BIO
DAY
HAS
BWA
CZR
ETSY
NCLH
MKTX
AAL
GL
MHK
FMC
IVZ
RHI
CMA
XLK
VTI
GLD
QQQ
NDAQ
DIA
VOO
IVV
VIG
SPYG
